concurrency,num_gpus,output_throughput,total_throughput,output_tput_per_gpu,total_tput_per_gpu,interactivity,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,total_input_tokens,total_output_tokens,completed_requests,duration_s
1,8,18.52,46.67,2.32,5.83,18.62,166.45,164.41,222.2,53.69,52.88,59.26,53.81,71.09,10240,6739,10,363.79
2,8,34.24,87.93,4.28,10.99,18.22,275.29,288.61,371.74,54.88,53.86,62.35,54.74,73.25,20480,13061,20,381.46
4,8,64.02,147.41,8.0,18.43,16.7,301.52,319.82,425.54,59.88,61.33,63.4,60.37,83.15,40960,31445,40,491.2
8,8,126.43,300.2,15.8,37.53,16.69,369.53,327.19,868.77,59.93,60.27,64.84,60.5,85.83,81920,59603,80,471.42
16,8,186.48,447.59,23.31,55.95,12.35,498.11,388.99,1611.23,80.94,81.25,88.68,80.71,231.42,163840,117008,160,627.47
32,8,305.34,742.48,38.17,92.81,9.92,734.92,437.57,3252.36,100.8,99.52,112.07,98.55,250.59,327680,228882,320,749.6
64,8,493.75,1198.16,61.72,149.77,8.08,1079.28,496.04,6371.16,123.83,123.4,163.06,122.28,271.33,655360,459366,640,930.36
128,8,760.78,1848.66,95.1,231.08,6.0,2319.54,690.96,29537.04,166.71,160.34,380.45,158.33,443.86,1310720,916621,1280,1204.84
